"","Date","BURGLARY","FELONY ASSAULT","GRAND LARCENY","GRAND LARCENY OF MOTOR VEHICLE","MURDER & NON-NEGL. MANSLAUGHTE","RAPE","ROBBERY"
"84",2006-03-25,40,43,104,66,3,7,60
"85",2006-03-26,46,47,90,32,0,5,54
"86",2006-03-27,76,33,121,46,1,7,66
"87",2006-03-28,61,31,126,30,1,4,60
"88",2006-03-29,69,50,113,35,1,2,54
"89",2006-03-30,64,48,105,37,2,4,51
"90",2006-03-31,58,53,137,36,1,6,50
"91",2006-04-01,57,51,163,45,5,17,68
"92",2006-04-02,28,56,81,47,2,0,62
"93",2006-04-03,50,39,108,35,0,1,57
"94",2006-04-04,63,38,112,32,0,6,59
"95",2006-04-05,63,46,98,41,0,1,54
"96",2006-04-06,57,38,140,29,3,4,56
"97",2006-04-07,88,50,137,43,0,10,72
"98",2006-04-08,43,52,96,52,2,5,64
"99",2006-04-09,22,59,76,33,1,4,39
"100",2006-04-10,69,40,121,40,2,2,55
"101",2006-04-11,51,33,105,40,1,2,57
"102",2006-04-12,79,41,125,34,1,3,54
"103",2006-04-13,51,54,122,35,0,1,51
"104",2006-04-14,48,41,121,52,2,3,50
"105",2006-04-15,54,56,121,37,1,6,59
"106",2006-04-16,55,45,92,39,1,3,50
"107",2006-04-17,62,45,108,49,3,3,47
"108",2006-04-18,46,41,98,44,0,2,49
"109",2006-04-19,52,50,115,34,2,8,44
"110",2006-04-20,51,54,118,44,1,3,50
"111",2006-04-21,77,42,127,53,1,4,62
"112",2006-04-22,52,36,113,39,3,1,52
"113",2006-04-23,45,51,97,36,1,4,43
"114",2006-04-24,66,46,119,55,1,3,70
"115",2006-04-25,60,47,98,44,2,5,47
"116",2006-04-26,55,39,117,43,2,2,51
"117",2006-04-27,71,36,123,37,1,2,65
"118",2006-04-28,80,50,142,32,2,4,60
"119",2006-04-29,54,61,129,37,0,6,59
"120",2006-04-30,30,44,91,42,0,5,52
"121",2006-05-01,67,38,200,41,2,14,78
"122",2006-05-02,64,58,123,37,1,3,56
"123",2006-05-03,71,40,136,34,2,0,63
"124",2006-05-04,66,40,125,40,1,6,58
"125",2006-05-05,69,82,140,59,2,3,61
"126",2006-05-06,55,73,107,38,1,6,54
"127",2006-05-07,45,68,85,43,3,4,56
"128",2006-05-08,59,36,110,39,1,7,72
"129",2006-05-09,56,58,129,51,1,3,56
"130",2006-05-10,64,51,144,41,2,1,55
"131",2006-05-11,77,44,150,43,0,2,76
"132",2006-05-12,95,52,132,36,0,3,59
"133",2006-05-13,51,43,108,40,1,2,62
"134",2006-05-14,54,59,92,38,3,2,62
"135",2006-05-15,68,43,122,40,1,2,73
"136",2006-05-16,49,55,104,46,1,0,72
"137",2006-05-17,60,48,130,43,1,3,51
"138",2006-05-18,79,52,130,58,0,5,69
"139",2006-05-19,64,46,127,54,0,4,76
"140",2006-05-20,60,61,135,45,5,2,55
"141",2006-05-21,47,58,89,31,2,3,57
"142",2006-05-22,74,41,144,44,1,4,66
"143",2006-05-23,62,51,137,33,2,2,63
"144",2006-05-24,62,42,117,35,1,4,66
"145",2006-05-25,75,48,128,40,2,3,62
"146",2006-05-26,91,56,151,40,2,2,66
"147",2006-05-27,65,58,95,33,4,5,69
"148",2006-05-28,45,66,110,42,2,6,61
"149",2006-05-29,41,45,81,50,2,3,54
"150",2006-05-30,51,59,127,33,2,3,74
"151",2006-05-31,72,58,138,39,1,5,64
"152",2006-06-01,59,55,205,48,2,24,65
"153",2006-06-02,80,43,157,46,1,5,63
"154",2006-06-03,65,66,92,45,1,3,62
"155",2006-06-04,33,55,94,38,4,1,70
"156",2006-06-05,70,54,151,30,0,3,62
"157",2006-06-06,64,39,122,30,0,3,73
"158",2006-06-07,57,35,134,35,0,2,78
"159",2006-06-08,67,42,107,35,1,2,46
"160",2006-06-09,89,48,137,55,4,7,58
"161",2006-06-10,55,58,126,45,1,2,50
"162",2006-06-11,29,76,98,36,0,3,58
"163",2006-06-12,54,60,130,56,1,1,57
"164",2006-06-13,49,52,114,40,1,4,62
"165",2006-06-14,64,56,123,53,0,2,86
"166",2006-06-15,65,59,129,51,1,6,66
"167",2006-06-16,71,49,155,50,0,2,65
"168",2006-06-17,51,70,101,41,0,4,59
"169",2006-06-18,36,81,99,37,6,3,68
"170",2006-06-19,77,52,99,54,2,5,54
"171",2006-06-20,66,49,153,60,0,2,49
"172",2006-06-21,73,47,128,38,3,7,70
"173",2006-06-22,72,53,132,38,1,2,80
"174",2006-06-23,101,61,139,52,6,6,83
"175",2006-06-24,57,66,131,45,3,3,64
"176",2006-06-25,50,63,97,53,1,3,64
"177",2006-06-26,64,42,157,48,1,3,69
"178",2006-06-27,60,44,126,40,2,0,76
"179",2006-06-28,70,63,113,44,3,1,65
"180",2006-06-29,74,59,105,54,1,4,61
"181",2006-06-30,74,48,149,47,4,6,80
"182",2006-07-01,64,66,200,44,2,20,62
"183",2006-07-02,38,67,96,32,1,6,55
"184",2006-07-03,67,43,126,36,1,4,66
"185",2006-07-04,67,81,79,36,1,2,55
"186",2006-07-05,64,63,131,50,2,1,60
"187",2006-07-06,64,32,131,39,0,2,59
"188",2006-07-07,87,70,149,54,1,7,66
"189",2006-07-08,48,66,128,46,1,7,54
"190",2006-07-09,50,63,95,49,3,5,67
"191",2006-07-10,67,45,154,51,0,2,57
"192",2006-07-11,65,50,123,42,0,3,67
"193",2006-07-12,65,40,129,45,2,3,56
"194",2006-07-13,65,44,140,44,0,5,58
"195",2006-07-14,84,52,132,60,3,2,66
"196",2006-07-15,50,65,121,40,2,7,69
"197",2006-07-16,48,77,106,26,2,3,59
"198",2006-07-17,71,54,132,44,2,4,72
"199",2006-07-18,76,70,120,49,4,3,57
"200",2006-07-19,65,55,134,50,2,3,67
"201",2006-07-20,76,50,158,36,1,6,71
"202",2006-07-21,83,52,140,61,1,0,78
"203",2006-07-22,53,59,109,64,6,4,76
"204",2006-07-23,50,63,90,40,0,6,76
"205",2006-07-24,64,53,142,36,4,1,61
"206",2006-07-25,64,51,145,33,0,3,81
"207",2006-07-26,73,38,145,38,4,10,56
"208",2006-07-27,81,38,164,39,1,1,65
"209",2006-07-28,94,42,151,54,2,3,81
"210",2006-07-29,65,68,114,41,1,3,68
"211",2006-07-30,47,78,104,54,2,7,68
"212",2006-07-31,56,38,157,46,0,3,76
"213",2006-08-01,56,61,208,44,2,19,67
"214",2006-08-02,63,52,141,37,0,1,56
"215",2006-08-03,65,42,149,43,0,2,61
"216",2006-08-04,93,52,130,42,1,2,68
"217",2006-08-05,47,66,130,59,0,6,68
"218",2006-08-06,39,55,90,29,2,4,64
"219",2006-08-07,77,65,136,49,1,7,68
"220",2006-08-08,81,40,149,47,3,4,72
"221",2006-08-09,69,52,152,54,3,4,63
"222",2006-08-10,75,41,122,55,1,3,71
"223",2006-08-11,87,44,155,46,2,1,54
"224",2006-08-12,49,68,125,40,0,2,68
"225",2006-08-13,56,60,113,60,3,5,57
"226",2006-08-14,66,42,147,51,0,2,63
"227",2006-08-15,63,41,144,47,1,0,59
"228",2006-08-16,66,47,131,55,3,3,63
"229",2006-08-17,68,43,124,55,0,3,61
"230",2006-08-18,91,44,137,46,2,4,77
"231",2006-08-19,59,55,122,41,2,2,81
"232",2006-08-20,52,84,119,54,2,5,77
"233",2006-08-21,72,51,128,61,2,5,59
"234",2006-08-22,80,48,130,43,2,2,73
"235",2006-08-23,74,46,134,48,1,5,67
"236",2006-08-24,64,36,113,49,1,7,63
"237",2006-08-25,83,62,140,56,1,5,81
"238",2006-08-26,60,61,142,36,0,6,60
"239",2006-08-27,42,56,113,65,5,7,75
"240",2006-08-28,65,37,134,57,1,4,66
"241",2006-08-29,71,45,110,52,1,3,72
"242",2006-08-30,72,33,140,45,3,7,79
"243",2006-08-31,76,56,139,54,2,6,57
"244",2006-09-01,85,48,227,49,0,19,53
"245",2006-09-02,47,52,136,39,1,6,57
"246",2006-09-03,47,53,105,44,2,1,57
"247",2006-09-04,44,73,109,59,4,6,65
"248",2006-09-05,69,41,139,48,1,4,63
"249",2006-09-06,75,47,163,48,0,4,42
"250",2006-09-07,75,32,142,39,1,2,55
"251",2006-09-08,88,42,132,53,2,2,67
"252",2006-09-09,56,64,126,49,0,3,70
"253",2006-09-10,35,69,120,49,4,5,73
"254",2006-09-11,65,56,153,49,1,2,75
"255",2006-09-12,70,26,149,46,0,2,66
"256",2006-09-13,72,44,132,45,1,2,62
"257",2006-09-14,76,42,148,58,4,2,84
"258",2006-09-15,83,46,168,49,0,4,73
"259",2006-09-16,42,70,121,48,3,5,57
"260",2006-09-17,31,67,100,50,2,1,56
"261",2006-09-18,68,32,137,43,2,1,56
"262",2006-09-19,66,41,120,43,4,3,66
"263",2006-09-20,101,56,145,53,2,3,95
"264",2006-09-21,79,48,144,42,1,0,69
"265",2006-09-22,68,56,160,48,0,4,83
"266",2006-09-23,55,62,113,54,4,4,98
"267",2006-09-24,50,87,113,40,3,7,106
"268",2006-09-25,80,50,144,54,1,5,64
"269",2006-09-26,63,38,119,47,1,3,75
"270",2006-09-27,65,37,133,47,2,2,94
"271",2006-09-28,68,50,145,50,1,2,79
"272",2006-09-29,95,49,169,52,1,4,68
"273",2006-09-30,48,55,141,43,2,6,82
"274",2006-10-01,43,63,183,51,2,10,76
"275",2006-10-02,65,54,120,47,2,3,65
"276",2006-10-03,71,52,154,41,2,3,75
"277",2006-10-04,75,50,134,39,3,3,50
"278",2006-10-05,73,40,154,37,0,4,76
"279",2006-10-06,93,47,163,59,3,6,84
"280",2006-10-07,56,69,107,45,0,3,66
"281",2006-10-08,47,54,109,42,2,5,70
"282",2006-10-09,43,54,115,44,1,5,70
"283",2006-10-10,78,46,152,55,0,2,80
"284",2006-10-11,84,35,116,45,1,5,64
"285",2006-10-12,72,50,151,60,1,2,73
"286",2006-10-13,68,43,127,36,0,4,85
"287",2006-10-14,51,58,162,39,2,7,66
"288",2006-10-15,33,60,116,32,0,4,74
"289",2006-10-16,61,49,138,36,4,1,88
"290",2006-10-17,76,32,138,35,2,3,46
"291",2006-10-18,88,47,132,28,0,4,69
"292",2006-10-19,75,53,142,52,2,2,70
"293",2006-10-20,80,38,156,55,5,5,87
"294",2006-10-21,53,46,124,46,0,7,80
"295",2006-10-22,40,64,97,41,0,0,73
"296",2006-10-23,71,51,157,37,4,1,90
"297",2006-10-24,65,30,128,37,0,3,91
"298",2006-10-25,80,40,136,51,1,4,69
"299",2006-10-26,60,27,137,41,1,1,74
"300",2006-10-27,73,48,132,46,2,8,84
"301",2006-10-28,76,49,131,50,1,4,67
"302",2006-10-29,45,61,114,36,3,1,75
"303",2006-10-30,65,41,116,43,1,3,79
"304",2006-10-31,79,63,147,40,1,3,97
"305",2006-11-01,64,60,206,45,3,18,78
"306",2006-11-02,56,34,151,41,1,3,58
"307",2006-11-03,70,44,157,43,0,7,79
"308",2006-11-04,47,29,120,36,2,3,60
"309",2006-11-05,53,52,115,38,3,4,54
"310",2006-11-06,72,31,137,55,0,2,55
"311",2006-11-07,52,39,132,37,1,4,64
"312",2006-11-08,60,33,116,38,4,1,70
"313",2006-11-09,64,36,119,54,1,3,76
"314",2006-11-10,88,33,156,53,0,7,69
"315",2006-11-11,55,71,144,47,3,5,59
"316",2006-11-12,44,60,106,45,4,3,59
"317",2006-11-13,93,43,128,35,2,3,75
"318",2006-11-14,55,37,133,37,1,2,62
"319",2006-11-15,73,40,162,35,3,4,82
"320",2006-11-16,82,37,134,33,1,2,70
"321",2006-11-17,80,44,173,53,0,3,90
"322",2006-11-18,46,55,155,41,3,3,55
"323",2006-11-19,41,68,105,51,3,3,59
"324",2006-11-20,66,32,139,38,0,5,69
"325",2006-11-21,75,31,124,36,0,2,72
"326",2006-11-22,91,29,156,48,2,2,74
"327",2006-11-23,54,42,73,38,2,7,46
"328",2006-11-24,53,42,133,39,2,3,60
"329",2006-11-25,60,63,111,45,3,3,70
"330",2006-11-26,43,47,100,42,1,3,63
"331",2006-11-27,65,31,139,54,2,5,79
"332",2006-11-28,86,41,144,33,0,2,83
"333",2006-11-29,70,25,126,32,0,2,82
"334",2006-11-30,81,45,159,36,1,5,77
"335",2006-12-01,88,41,250,48,2,25,85
"336",2006-12-02,60,49,167,31,5,4,71
"337",2006-12-03,32,47,117,40,1,2,68
"338",2006-12-04,60,37,144,45,2,4,75
"339",2006-12-05,61,36,115,38,4,1,65
"340",2006-12-06,75,43,153,43,2,3,62
"341",2006-12-07,62,35,129,49,1,2,81
"342",2006-12-08,77,32,135,39,0,4,59
"343",2006-12-09,70,57,128,33,1,6,54
"344",2006-12-10,46,62,126,42,6,1,49
"345",2006-12-11,70,36,145,40,2,4,76
"346",2006-12-12,81,48,131,41,1,4,84
"347",2006-12-13,81,18,142,41,1,0,67
"348",2006-12-14,56,28,148,41,2,4,74
"349",2006-12-15,81,45,188,48,3,6,87
"350",2006-12-16,49,37,139,39,0,6,58
"351",2006-12-17,41,39,109,43,3,1,59
"352",2006-12-18,69,29,142,48,1,2,77
"353",2006-12-19,79,31,134,30,3,5,79
"354",2006-12-20,75,49,170,32,0,7,91
"355",2006-12-21,82,43,171,58,3,4,70
"356",2006-12-22,106,62,145,53,1,6,91
"357",2006-12-23,75,54,134,36,1,3,69
"358",2006-12-24,55,51,111,33,5,2,67
"359",2006-12-25,47,36,52,33,3,7,45
"360",2006-12-26,40,37,106,45,2,2,63
"361",2006-12-27,76,38,121,36,0,5,58
"362",2006-12-28,61,37,112,42,1,1,73
"363",2006-12-29,74,54,118,33,2,1,74
"364",2006-12-30,66,40,111,37,2,4,69
"365",2006-12-31,61,53,100,26,3,3,63
"366",2007-01-01,29,107,226,49,1,38,72
"367",2007-01-02,58,42,136,37,0,4,63
"368",2007-01-03,80,46,137,33,1,7,68
"369",2007-01-04,69,32,114,36,0,2,63
"370",2007-01-05,88,42,119,49,4,5,58
"371",2007-01-06,39,30,137,52,0,1,60
"372",2007-01-07,38,40,99,34,0,1,62
"373",2007-01-08,75,34,121,33,1,3,66
"374",2007-01-09,56,37,103,26,1,1,67
"375",2007-01-10,50,32,133,25,0,1,54
"376",2007-01-11,68,38,129,35,1,3,67
"377",2007-01-12,100,44,123,41,1,0,82
"378",2007-01-13,47,55,119,38,1,2,59
"379",2007-01-14,54,40,104,44,1,3,75
"380",2007-01-15,55,29,124,29,0,2,54
"381",2007-01-16,81,28,123,33,2,4,57
"382",2007-01-17,67,32,107,38,0,4,45
"383",2007-01-18,48,38,107,32,0,2,73
"384",2007-01-19,82,40,130,37,0,3,68
"385",2007-01-20,39,39,124,29,0,5,58
"386",2007-01-21,34,42,94,26,1,0,48
"387",2007-01-22,64,29,92,31,0,2,67
"388",2007-01-23,73,37,120,34,1,2,58
"389",2007-01-24,56,34,110,43,0,2,60
"390",2007-01-25,52,29,99,33,0,2,43
"391",2007-01-26,58,35,102,35,1,4,36
"392",2007-01-27,51,53,122,33,2,2,51
"393",2007-01-28,51,65,109,33,3,2,47
"394",2007-01-29,57,30,122,38,0,1,47
"395",2007-01-30,72,35,102,39,0,1,49
"396",2007-01-31,66,26,103,31,1,2,59
"397",2007-02-01,56,30,152,35,1,10,51
"398",2007-02-02,64,41,141,31,0,5,59
"399",2007-02-03,47,42,77,32,1,3,53
"400",2007-02-04,36,44,94,26,2,5,42
"401",2007-02-05,46,32,106,22,0,3,43
"402",2007-02-06,44,16,108,16,1,3,38
"403",2007-02-07,51,27,112,30,0,2,42
"404",2007-02-08,53,30,101,22,3,2,41
"405",2007-02-09,52,41,123,42,0,1,55
"406",2007-02-10,48,49,109,47,2,3,43
"407",2007-02-11,33,50,65,27,3,2,42
"408",2007-02-12,44,35,98,26,0,3,69
"409",2007-02-13,65,40,105,30,0,1,54
"410",2007-02-14,41,26,89,24,0,3,48
"411",2007-02-15,36,37,96,22,0,3,43
"412",2007-02-16,65,37,130,26,0,3,44
"413",2007-02-17,37,51,105,30,0,5,45
"414",2007-02-18,47,48,91,18,1,2,40
"415",2007-02-19,44,38,90,27,0,4,39
"416",2007-02-20,61,29,113,35,0,3,47
"417",2007-02-21,52,45,98,29,2,3,42
"418",2007-02-22,49,23,78,25,1,2,55
"419",2007-02-23,60,34,117,33,1,5,48
"420",2007-02-24,44,46,116,51,1,3,45
"421",2007-02-25,44,50,78,33,2,1,45
"422",2007-02-26,57,32,85,35,2,2,53
"423",2007-02-27,54,38,109,34,1,1,43
"424",2007-02-28,48,44,99,34,0,6,56
"425",2007-03-01,55,34,157,43,0,14,44
"426",2007-03-02,82,40,132,39,1,2,42
"427",2007-03-03,53,58,110,32,1,6,51
"428",2007-03-04,41,47,86,32,0,2,38
"429",2007-03-05,58,38,104,34,0,3,52
"430",2007-03-06,50,28,86,25,0,4,39
"431",2007-03-07,54,25,106,25,1,2,41
"432",2007-03-08,56,31,125,33,0,0,50
"433",2007-03-09,67,46,131,31,3,4,52
"434",2007-03-10,45,53,100,34,2,3,43
"435",2007-03-11,39,59,73,34,1,2,47
"436",2007-03-12,56,56,115,33,0,2,40
"437",2007-03-13,54,42,128,28,0,4,40
"438",2007-03-14,52,46,123,28,3,4,48
"439",2007-03-15,51,44,118,38,1,3,53
"440",2007-03-16,58,31,103,33,2,4,51
"441",2007-03-17,20,40,75,16,2,2,40
"442",2007-03-18,25,63,86,29,1,2,42
"443",2007-03-19,48,42,110,24,2,4,40
"444",2007-03-20,44,43,113,42,0,3,66
"445",2007-03-21,42,34,95,28,2,5,60
"446",2007-03-22,64,43,129,35,1,5,54
"447",2007-03-23,75,45,137,26,0,7,56
"448",2007-03-24,55,49,101,33,2,2,41
"449",2007-03-25,44,55,92,28,1,1,57
"450",2007-03-26,59,34,123,33,1,1,59
"451",2007-03-27,64,45,123,20,0,1,52
"452",2007-03-28,51,55,119,35,1,3,50
"453",2007-03-29,53,46,109,35,0,2,61
"454",2007-03-30,69,52,125,40,1,9,53
"455",2007-03-31,49,66,103,27,0,1,60
"456",2007-04-01,43,61,148,36,0,19,44
"457",2007-04-02,64,39,98,36,1,3,61
"458",2007-04-03,47,30,98,25,2,3,38
"459",2007-04-04,57,32,88,31,4,0,47
"460",2007-04-05,60,32,120,24,1,1,37
"461",2007-04-06,59,40,104,33,2,2,50
"462",2007-04-07,31,52,130,31,5,0,53
"463",2007-04-08,31,50,64,18,0,2,31
"464",2007-04-09,51,34,115,18,1,3,39
"465",2007-04-10,36,38,113,30,0,4,49
"466",2007-04-11,65,37,101,37,1,3,55
"467",2007-04-12,55,32,100,29,1,2,37
"468",2007-04-13,84,50,128,26,0,4,45
"469",2007-04-14,47,45,113,42,0,4,48
"470",2007-04-15,34,46,93,33,1,2,43
"471",2007-04-16,49,40,114,32,1,2,60
"472",2007-04-17,57,33,127,25,2,3,49
"473",2007-04-18,59,34,92,25,4,4,62
"474",2007-04-19,47,48,101,33,0,1,67
"475",2007-04-20,72,46,143,25,2,3,51
"476",2007-04-21,43,58,107,32,2,3,46
"477",2007-04-22,29,72,93,27,3,6,45
"478",2007-04-23,67,46,100,40,2,1,31
"479",2007-04-24,50,49,119,38,0,4,56
"480",2007-04-25,63,48,122,36,0,1,61
"481",2007-04-26,67,46,122,40,0,7,39
"482",2007-04-27,82,54,147,36,1,6,62
"483",2007-04-28,48,64,121,23,1,1,52
"484",2007-04-29,38,52,91,36,0,1,61
"485",2007-04-30,62,48,120,33,0,1,66
"486",2007-05-01,58,31,176,37,2,13,46
"487",2007-05-02,57,55,136,29,1,2,57
"488",2007-05-03,49,52,129,39,0,3,67
"489",2007-05-04,58,57,140,49,3,4,61
"490",2007-05-05,57,69,109,50,2,4,54
"491",2007-05-06,34,64,91,23,3,1,44
"492",2007-05-07,68,51,139,37,2,4,66
"493",2007-05-08,45,30,117,31,2,2,65
"494",2007-05-09,75,46,125,28,0,1,46
"495",2007-05-10,55,42,110,39,3,3,55
"496",2007-05-11,65,66,127,38,0,2,68
"497",2007-05-12,52,66,134,41,1,4,58
"498",2007-05-13,42,56,92,37,1,2,45
"499",2007-05-14,62,50,105,33,2,1,60
"500",2007-05-15,59,47,141,39,3,3,63
"501",2007-05-16,75,44,128,48,3,3,41
"502",2007-05-17,59,64,137,50,3,1,69
"503",2007-05-18,60,53,128,50,4,2,61
"504",2007-05-19,55,48,107,38,0,2,56
"505",2007-05-20,43,73,112,44,2,3,58
"506",2007-05-21,70,36,130,37,0,1,53
"507",2007-05-22,53,44,130,41,1,5,53
"508",2007-05-23,75,50,140,42,0,2,52
"509",2007-05-24,65,53,134,32,3,1,52
"510",2007-05-25,79,58,152,48,1,1,58
"511",2007-05-26,46,72,106,35,3,2,53
"512",2007-05-27,53,73,93,37,3,5,59
"513",2007-05-28,69,60,84,40,2,2,63
"514",2007-05-29,60,86,120,32,5,2,56
"515",2007-05-30,62,59,104,52,0,2,60
"516",2007-05-31,74,42,136,29,2,6,67
"517",2007-06-01,81,55,182,38,3,25,86
"518",2007-06-02,48,71,140,38,2,2,67
"519",2007-06-03,45,69,101,37,3,6,68
"520",2007-06-04,60,34,121,35,0,7,53
"521",2007-06-05,67,50,141,35,0,2,48
"522",2007-06-06,64,42,138,39,4,4,64
"523",2007-06-07,60,41,124,38,4,2,38
"524",2007-06-08,86,49,137,33,1,4,79
"525",2007-06-09,51,58,119,32,4,5,55
"526",2007-06-10,46,68,98,31,1,3,69
"527",2007-06-11,57,51,125,33,3,2,61
"528",2007-06-12,62,59,127,27,0,5,64
"529",2007-06-13,90,48,129,44,0,2,67
"530",2007-06-14,74,46,128,35,0,3,62
"531",2007-06-15,65,45,166,53,0,2,67
"532",2007-06-16,48,67,125,31,2,5,56
"533",2007-06-17,33,73,86,38,0,2,47
"534",2007-06-18,65,58,128,44,3,2,64
"535",2007-06-19,66,44,106,40,0,4,66
"536",2007-06-20,54,34,142,41,3,6,62
"537",2007-06-21,59,54,119,36,0,2,64
"538",2007-06-22,73,45,152,45,1,1,49
"539",2007-06-23,56,89,124,40,1,0,69
"540",2007-06-24,46,78,97,39,3,5,47
"541",2007-06-25,68,34,143,36,0,5,62
"542",2007-06-26,56,71,106,35,2,3,67
"543",2007-06-27,68,44,123,41,2,5,50
"544",2007-06-28,68,39,106,42,1,4,55
"545",2007-06-29,75,51,133,37,1,6,53
"546",2007-06-30,64,78,112,41,2,5,62
"547",2007-07-01,41,68,158,42,0,21,64
"548",2007-07-02,64,47,126,35,0,3,70
"549",2007-07-03,61,51,118,50,2,3,73
"550",2007-07-04,54,54,78,42,1,4,45
"551",2007-07-05,61,58,128,38,1,3,58
"552",2007-07-06,70,49,141,37,2,3,52
"553",2007-07-07,54,72,126,35,0,1,60
"554",2007-07-08,45,75,100,34,4,5,52
"555",2007-07-09,69,36,131,41,2,4,55
"556",2007-07-10,49,49,118,43,0,2,57
"557",2007-07-11,61,35,116,44,3,1,58
"558",2007-07-12,83,48,119,45,2,2,48
"559",2007-07-13,74,41,128,42,1,3,69
"560",2007-07-14,64,65,109,40,3,1,52
"561",2007-07-15,43,57,105,26,0,10,46
"562",2007-07-16,94,45,131,34,1,5,48
"563",2007-07-17,66,39,113,29,2,2,45
"564",2007-07-18,60,37,143,36,4,5,60
"565",2007-07-19,68,57,140,28,3,1,67
"566",2007-07-20,97,41,150,44,1,5,68
"567",2007-07-21,54,73,126,43,0,6,64
"568",2007-07-22,54,90,121,40,3,4,51
"569",2007-07-23,75,39,96,38,3,0,63
"570",2007-07-24,68,35,128,39,0,0,59
"571",2007-07-25,75,41,154,32,1,1,66
"572",2007-07-26,67,51,138,39,1,2,58
"573",2007-07-27,93,60,151,43,2,2,58
"574",2007-07-28,53,81,132,28,6,1,79
"575",2007-07-29,45,63,110,44,1,6,76
